Câu hỏi,Đáp án chuẩn,AI Trả lời,Điểm EM (0-1),Điểm SIM (0-1),Điểm LLM (0-1),ĐIỂM TỔNG HỢP (Final Score)
"Tôi và chồng đã chung sống với nhau gần 10 năm, có một con nhỏ. Sau khi ly hôn, tôi muốn được chia phần tài sản riêng như thế nào? Chồng tôi là công nhân, tôi là nhân viên văn phòng, tài sản riêng của chúng tôi là căn nhà, xe máy, tiền tiết kiệm. Chúng tôi có thể thỏa thuận chia tài sản như thế nào để công bằng?","Theo quy định tại khoản 4 Điều 33 Luật Hôn nhân và Gia đình, tài sản riêng của vợ, chồng thuộc quyền sở hữu của người đó, trừ trường hợp tài sản riêng đã nhập vào tài sản chung theo quy định của Luật này. Tuy nhiên, trong trường hợp có sự sáp nhập, trộn lẫn giữa tài sản riêng và tài sản chung mà vợ, chồng có yêu cầu về chia tài sản, tòa án sẽ được hướng dẫn để thanh toán phần giá trị tài sản của mỗi bên đóng góp vào khối tài sản chung.  Việc chia tài sản chung sau ly hôn sẽ dựa trên nguyên tắc công bằng, đảm bảo quyền lợi hợp pháp của mỗi bên.  Ngoài ra, các bên có thể thỏa thuận chia tài sản theo thỏa thuận của mình, miễn là thỏa thuận đó đảm bảo quyền lợi hợp pháp của các đương sự và không vi phạm pháp luật.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.752,0.5,0.451
"Tôi và chồng sắp ly hôn, chúng tôi có một căn nhà chung và một số tài khoản tiết kiệm. Chồng tôi muốn giữ hết tài khoản tiết kiệm này. Tôi có thể làm gì để bảo vệ quyền lợi của mình?","Trong trường hợp có tranh chấp về quyền, nghĩa vụ tài sản giữa vợ chồng khi ly hôn, bạn có quyền yêu cầu Tòa án giải quyết theo quy định tại Điều 60 và Điều 61 của Luật Hôn nhân và Gia đình. Cụ thể, nếu tài sản chung không xác định được khi vợ chồng sống chung với gia đình, bạn có quyền được chia một phần trong khối tài sản chung dựa trên công sức đóng góp của bạn và chồng vào việc tạo lập, duy trì, phát triển tài sản chung và đời sống chung. Ngoài ra, bạn cần chứng minh chồng đã có hành vi chiếm đoạt tài sản một cách bất hợp pháp để Tòa án có căn cứ giải quyết theo đúng quy định của pháp luật.  Bạn nên tìm kiếm sự tư vấn của luật sư để được hướng dẫn cụ thể và có phương án pháp lý phù hợp với tình hình của bạn.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.766,0.5,0.456
"Tôi và chồng đang có một mảnh đất chung. Sau khi ly hôn, chúng tôi không đồng ý về việc chia phần đất đó. Theo quy định của pháp luật, tòa án sẽ giải quyết việc chia đất như thế nào?","Theo quy định tại Điều 62 của Luật Hôn nhân và Gia đình, việc chia quyền sử dụng đất của vợ chồng khi ly hôn được thực hiện như sau: nếu cả hai bên đều có nhu cầu và điều kiện trực tiếp sử dụng đất thì phần đất nông nghiệp trồng cây hàng năm, nuôi trồng thủy sản sẽ được chia theo thỏa thuận. Trong trường hợp không thỏa thuận được, tòa án sẽ giải quyết. Tòa án sẽ xem xét sự cân bằng quyền và lợi ích của các bên để đưa ra quyết định công bằng về việc chia đất.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.761,0.5,0.454
"Tôi và chồng tôi đang có mảnh đất nông nghiệp trồng cây hàng năm. Khi ly hôn, chúng tôi sẽ phải làm gì với mảnh đất này?","Khi ly hôn, nếu vợ chồng có quyền sử dụng đất nông nghiệp trồng cây hàng năm, nuôi trồng thủy sản chung với hộ gia đình, phần quyền sử dụng đất này sẽ được tách ra và chia theo quy định. Cụ thể, Điều 59 của Luật Hôn nhân và Gia đình quy định về việc chia đất trong trường hợp này. Điều này đảm bảo quyền lợi của cả hai bên sau khi ly hôn, đồng thời tuân thủ các quy định về quyền sở hữu và sử dụng đất đai.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.756,0.5,0.452
"Tôi và chồng đang có những bất đồng lớn về tài chính và lối sống. Chúng tôi muốn ly hôn nhưng tôi lo lắng về việc sẽ không có chỗ ở và nguồn thu nhập ổn định. Theo luật, tôi sẽ được hỗ trợ gì?","Theo Điều 63 của Luật Hôn nhân và Gia đình, nếu bạn gặp khó khăn về chỗ ở sau khi ly hôn, bạn có quyền được yêu cầu được tiếp tục lưu trú trong thời hạn 06 tháng kể từ ngày quan hệ hôn nhân chấm dứt. Điều này áp dụng khi bạn không có quyền sử dụng đất chung và không tiếp tục sống chung với gia đình chồng. Tuy nhiên, quyền này chỉ được áp dụng khi bạn chứng minh được có hoàn cảnh khó khăn về chỗ ở. Ngoài ra, bạn cũng có thể được tòa án hỗ trợ về kinh tế để bạn có thể tự mình tìm kiếm chỗ ở và ổn định cuộc sống sau khi ly hôn, tùy thuộc vào tình hình tài chính của hai bên và sự thỏa thuận của các bên.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.019,0.765,0.5,0.462
"Bà An mang thai 3 tháng, chồng bà An muốn ly hôn. Theo quy định của pháp luật, bà An có thể ly hôn không?","Theo Điều 65 của Luật Hôn nhân và Gia đình, hôn nhân chấm dứt kể từ thời điểm vợ hoặc chồng chết. Việc ly hôn của bà An trong trường hợp này là hoàn toàn có thể, vì chết là một trong những nguyên nhân chấm dứt hôn nhân. Tuy nhiên, cần lưu ý rằng việc ly hôn sẽ liên quan đến các thủ tục pháp lý liên quan đến tài sản, nuôi con (nếu có) và các quyền lợi khác theo quy định của pháp luật. Cần hướng dẫn bà An tìm đến luật sư để được tư vấn cụ thể về các bước thực hiện ly hôn.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.762,0.5,0.455
"Bà Lan mất, chồng bà vẫn còn sống. Gia đình muốn chia tài sản thừa kế theo luật định, nhưng việc này sẽ gây khó khăn rất lớn cho bà Lan khi không còn khả năng sinh hoạt độc lập. Bà Lan có thể yêu cầu tòa án làm gì để bảo vệ quyền lợi của mình?","Theo quy định tại Điều 67 của Luật Hôn nhân và Gia đình, nếu việc chia di sản thừa kế ảnh hưởng nghiêm trọng đến đời sống của người vợ hoặc chồng còn sống, người đó có quyền yêu cầu Tòa án hạn chế phân chia di sản. Quyền này nhằm đảm bảo quyền lợi và sự ổn định đời sống của người còn sống sau khi người kia đã qua đời. Điều này thể hiện sự quan tâm của pháp luật đến quyền lợi của các bên trong quá trình thừa kế và tránh những hậu quả tiêu cực có thể xảy ra.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.772,0.5,0.459
Tôi đã ly hôn với vợ nhưng sau đó tôi và vợ đã tái hôn với người khác. Vợ tôi có quyền được coi như vợ tôi ban đầu để tôi có thể yêu cầu Tòa án tuyên bố phá sản hôn nhân không?,"Theo quy định tại khoản 6 của Luật Hôn nhân và Gia đình, việc vợ, chồng kết hôn với người khác không làm mất hiệu lực của quan hệ hôn nhân ban đầu. Tuy nhiên, để có thể yêu cầu Tòa án tuyên bố phá sản hôn nhân, bạn cần chứng minh rằng quan hệ hôn nhân ban đầu chưa được giải quyết tài sản một cách thỏa thuận, hoặc tài sản đó đã được phân chia.  Do đó, cần phải chứng minh rằng việc tái hôn của vợ chồng không làm thay đổi tình hình tài sản ban đầu, và Tòa án có thể xem xét yêu cầu của bạn dựa trên các bằng chứng cụ thể.  Cần lưu ý rằng, nếu việc tái hôn không được Tòa án chấp nhận là một hình thức thay thế quan hệ hôn nhân ban đầu, Tòa án có thể sẽ không xem xét yêu cầu ly hôn dựa trên lý do này.  Bạn nên tham khảo ý kiến của luật sư để được tư vấn cụ thể về tình hình của bạn.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.017,0.772,0.5,0.464
"Tôi và chồng đang sống riêng vì không còn tình cảm nữa. Chồng tôi muốn ly hôn, tôi có quyền yêu cầu chia tài sản như thế nào?","Theo Điều 68 của Luật Hôn nhân và Gia đình, các bên có quyền và nghĩa vụ theo quy định của Luật này, Bộ luật Dân sự và các luật khác được bảo vệ. Khi ly hôn, việc chia tài sản sẽ được thực hiện dựa trên nguyên tắc thỏa thuận hoặc theo quy định của pháp luật. Tuy nhiên, bất kỳ thỏa thuận nào cũng phải đảm bảo không ảnh hưởng đến quyền, lợi ích hợp pháp của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động. Bạn có quyền yêu cầu chia tài sản theo thỏa thuận với chồng hoặc nếu không đạt được thỏa thuận, tòa án sẽ quyết định dựa trên các quy định của pháp luật về chia tài sản trong trường hợp ly hôn. Cụ thể, khoản 4 của Điều 68 quy định về việc bảo vệ quyền lợi của các thành viên trong gia đình, đặc biệt là những người không có khả năng tự bảo vệ mình.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.766,0.5,0.456
"Tôi đang mang thai, chồng tôi bị mất việc và không có thu nhập, gia đình tôi cũng không còn khả năng hỗ trợ. Chúng tôi có thể ly hôn dựa trên điều khoản nào của Luật Hôn nhân và Gia đình?","Trong trường hợp của bạn, việc chồng bạn mất việc, gia đình không hỗ trợ và bạn đang mang thai, có thể cấu thành một trong những trường hợp được quy định tại Điều 2 khoản 2 của Luật Hôn nhân và Gia đình. Điều này có nghĩa là bạn có quyền yêu cầu chồng bạn trông nom, nuôi dưỡng, chăm sóc và bảo vệ quyền lợi của con chưa thành niên. Tuy nhiên, việc ly hôn sẽ phụ thuộc vào việc đánh giá khách quan về tình hình tài chính, sự ổn định cuộc sống và sự thỏa thuận của cả hai bên. Nếu không đạt được thỏa thuận, tòa án sẽ xem xét và đưa ra quyết định dựa trên quy định của pháp luật. Cần lưu ý, luật có nhiều điều khoản liên quan đến ly hôn, bao gồm cả các yếu tố như trình tự, thủ tục, và các điều kiện được luật quy định. Bạn nên tìm đến luật sư để được tư vấn cụ thể và hướng dẫn chi tiết nhất về vụ việc của mình.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.78,0.5,0.462
"Bố tôi mất năm 16 tuổi, tôi cũng mất năng lực hành vi dân sự. Hiện tại, tôi 22 tuổi, không có công việc và không có tài sản. Tôi có được cha mẹ nhận nuôi và chăm sóc không?","Theo Điều 70 khoản 3 của Luật Hôn nhân và Gia đình, con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình thì có quyền sống chung với cha mẹ, được cha mẹ trông nom, nuôi dưỡng, chăm sóc.  Trường hợp bạn đáp ứng đầy đủ các điều kiện này, cha mẹ của bạn có quyền và nghĩa vụ pháp lý để chăm sóc bạn.  Việc này được xem là phù hợp vì bạn không có khả năng tự care và cần sự hỗ trợ của gia đình.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.778,0.5,0.461
"Tôi và chồng đang có những tranh cãi lớn về việc làm và cuộc sống. Tôi muốn chuyển đến một thành phố khác để theo đuổi công việc mà mình đam mê, nhưng chồng tôi không đồng ý. Chúng tôi có thể giải quyết vấn đề này dựa trên luật pháp như thế nào?","Theo quy định tại Điều 71 về Nghĩa vụ và quyền chăm sóc, nuôi dưỡng, cha mẹ có nghĩa vụ và quyền cùng nhau chăm sóc, nuôi dưỡng con chưa thành niên và con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động. Tuy nhiên, con đã thành niên có quyền tự do lựa chọn nơi cư trú và nghề nghiệp theo Điều quy định về quyền tự do của công dân. Trong trường hợp này, bạn và chồng cần cùng thảo luận, tìm kiếm giải pháp thỏa đáng, đảm bảo cuộc sống chung của gia đình, đồng thời tôn trọng quyền tự do lựa chọn của nhau. Việc chồng bạn không đồng ý bạn chuyển đến một thành phố khác có thể xem xét lại, vì bạn đã có quyền tự do lựa chọn. Cần có sự thỏa thuận rõ ràng về kinh tế, trách nhiệm chung trong việc chăm sóc gia đình để tránh những tranh chấp lớn xảy ra.  Luật Hôn nhân và Gia đình không hạn chế quyền tự do lựa chọn nghề nghiệp của công dân khi đã thành niên, nhưng vẫn yêu cầu sự hợp tác và trách nhiệm trong việc đảm bảo cuộc sống chung của gia đình.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.774,0.5,0.46
"Tôi đang có một con nhỏ, chồng tôi không muốn nuôi. Chồng tôi nói tôi có nghĩa vụ chăm sóc con, nhưng tôi không có việc làm và không có tài sản gì. Tôi có quyền ly hôn không?","Theo Điều 72, 73 về Luật Hôn nhân và Gia đình, việc chồng bạn không muốn nuôi con và bạn không có khả năng tự mình nuôi dạy con là một tình huống cần được xem xét. Mặc dù bạn có nghĩa vụ chăm sóc con, nhưng việc này không loại trừ khả năng ly hôn nếu có căn cứ.  Cụ thể, bạn có thể yêu cầu tòa án xem xét các yếu tố như khả năng tài chính của mỗi bên, hoàn cảnh sống, và đặc biệt là quyền lợi của con.  Tòa án sẽ đánh giá các yếu tố này để đưa ra quyết định phù hợp nhất với lợi ích của con.  Điều quan trọng là bạn cần cung cấp đầy đủ bằng chứng về tình hình kinh tế, việc làm, và sự hỗ trợ mà bạn đang nhận được để chứng minh khả năng không thể tự mình nuôi dạy con.  Luật Hôn nhân và Gia đình quy định về quyền của cha mẹ trong việc lựa chọn và quyết định về quyền lợi của con, và việc con cần được hưởng lợi ích tốt nhất.  Bạn nên tìm kiếm sự tư vấn của luật sư để được hướng dẫn cụ thể hơn về quy trình và các bước thực hiện.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.781,0.5,0.462
Tôi đang lo lắng vì con trai tôi 17 tuổi đang có ý định vay tiền trả góp mua xe máy mà tôi không đồng ý. Tôi có quyền hạn gì để ngăn chặn việc này và đảm bảo con tôi không gặp rủi ro?,"Theo Điều 73 khoản 2 của Luật Hôn nhân và Gia đình, cha mẹ có quyền tự mình thực hiện giao dịch nhằm đáp ứng nhu cầu thiết yếu của con chưa thành niên hoặc con đã thành niên mất năng lực hành vi dân sự không có khả năng lao động và không có tài sản để tự nuôi mình. Tuy nhiên, trong trường hợp này, việc con trai bạn 17 tuổi muốn mua xe máy trả góp là một giao dịch liên quan đến tài sản có giá trị, do đó cha mẹ cần có sự thỏa thuận.  Cha mẹ có trách nhiệm liên đới về giao dịch này. Bạn có thể cùng con trao đổi, giải thích về những rủi ro liên quan đến việc vay tiền trả góp và cùng nhau đưa ra quyết định.  Nếu con trai bạn vẫn thực hiện giao dịch mà không có sự đồng ý của bạn, bạn có thể yêu cầu chấm dứt giao dịch đó.  Đây là quyền của bạn theo quy định pháp luật để bảo vệ quyền lợi và tương lai của con.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.774,0.5,0.46
"Tôi đang có con trai 16 tuổi, tôi và con trai sống chung. Con trai tôi đang đi học và có thu nhập từ việc làm thêm. Tôi có phải đóng góp vào việc đáp ứng nhu cầu thiết yếu của gia đình không?","Theo Điều 75 khoản 2 Luật Hôn nhân và Gia đình, con từ đủ 15 tuổi trở lên khi sống chung với cha mẹ phải có nghĩa vụ chăm lo đời sống chung của gia đình và đóng góp vào việc đáp ứng nhu cầu thiết yếu của gia đình nếu có thu nhập. Trường hợp con trai 16 tuổi của bạn đang sống chung và có thu nhập từ việc làm thêm, bạn có nghĩa vụ đóng góp vào việc đáp ứng nhu cầu thiết yếu của gia đình theo quy định này. Việc đóng góp này sẽ dựa trên thu nhập của con trai bạn.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.766,0.5,0.457
"Tôi có một con gái 12 tuổi, tôi muốn gửi tiền để con có thể mua một chiếc máy tính bảng cho học tập. Việc này có được coi là tài sản riêng của con hay không và tôi có cần phải làm gì để đảm bảo quyền lợi của con trong trường hợp này?",nan,Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.802,0.5,0.471
"Tôi đang là người giám hộ cho một đứa trẻ chưa đủ 15 tuổi, và tôi muốn bán ngôi nhà của nó để trả nợ. Tôi có được quyền làm như vậy không?",nan,Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.802,0.5,0.471
"Tôi đang nuôi một con trai bằng một mình mình, và chồng tôi yêu cầu muốn làm cha nuôi của bé. Chúng tôi muốn chấm dứt quan hệ nuôi con nuôi. Việc này có được không và tôi cần phải làm những gì để đảm bảo quyền lợi của con trai tôi?","Theo Điều 78 của Luật Hôn nhân và Gia đình, việc chấm dứt quan hệ nuôi con nuôi phải được Tòa án có quyết định để có hiệu lực pháp luật. Trong trường hợp này, bạn có thể yêu cầu Tòa án xem xét và quyết định về việc chấm dứt quan hệ nuôi con nuôi giữa bạn và người yêu/chồng của bạn (người muốn làm cha nuôi). Quyền và nghĩa vụ giữa cha đẻ/mẹ đẻ và con nuôi sẽ được khôi phục kể từ ngày quyết định của Tòa án có hiệu lực.  Để đảm bảo quyền lợi của con trai bạn, bạn nên làm rõ các vấn đề pháp lý liên quan đến quyền thừa kế, quyền tài sản, quyền nuôi dưỡng và quyền định đoạt tài sản của con sau khi quan hệ nuôi con nuôi chấm dứt.  Bạn nên tìm kiếm tư vấn pháp lý từ luật sư chuyên về luật gia đình để được tư vấn cụ thể và đảm bảo quyền lợi tốt nhất cho con.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.019,0.763,0.5,0.461
Tôi đang ly hôn và có một con trai 16 tuổi. Chồng tôi không có công việc ổn định và không có khả năng chăm sóc con. Tôi có thể được tòa án chỉ định làm giám hộ cho con trai không?,"Theo Điều 79 khoản 2 của Luật Hôn nhân và Gia đình, nếu con riêng không có khả năng tự nuôi mình và không có tài sản để tự nuôi, người giám hộ có thể được tòa án chỉ định. Trong trường hợp này, tòa án sẽ xem xét đến tình hình kinh tế, khả năng chăm sóc của các bên và quyền lợi của con. Tóm lại, bạn có thể nộp đơn yêu cầu tòa án chỉ định bạn làm giám hộ cho con trai nếu chồng bạn không đáp ứng được các điều kiện nuôi dưỡng con theo quy định của pháp luật.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.777,0.5,0.461
"Tôi và chồng sắp ly hôn, chúng tôi có con 7 tuổi. Chồng tôi muốn nuôi con, còn tôi muốn nuôi. Theo luật, Tòa án sẽ quyết định dựa trên cơ sở nào?",nan,Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.802,0.5,0.471
"Tôi vừa mới ly hôn với vợ. Vợ tôi vẫn thường xuyên đến thăm con trai nhỏ của chúng tôi, nhưng mỗi khi đến đều trách móc tôi không biết cách dạy dỗ con, thậm chí còn ra lệnh thay đổi lịch trình học của con. Tôi có quyền làm gì để bảo vệ quyền lợi của mình và con trai không?",nan,Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.802,0.5,0.471
"Tôi đã ly hôn với vợ và hiện tại tôi đang nuôi con. Vợ tôi muốn thăm nom con, nhưng tôi không muốn để cô ấy tiếp xúc quá nhiều. Tôi có quyền hạn gì theo luật để bảo vệ quyền lợi của mình và của con không?","Theo Điều 83 khoản 1 Luật Hôn nhân và Gia đình, cha, mẹ trực tiếp nuôi con có quyền yêu cầu người không trực tiếp nuôi con thực hiện các nghĩa vụ nuôi con và yêu cầu tôn trọng quyền nuôi con của mình. Tuy nhiên, quyền này không mang tính tuyệt đối.  Cha, mẹ trực tiếp nuôi con không có quyền ngăn cản hoàn toàn việc thăm nom, chăm sóc con của người không trực tiếp nuôi con.  Bạn có thể chủ động thỏa thuận với vợ về thời gian, địa điểm thăm nom con để đảm bảo sự thoải mái và phù hợp với lợi ích của con.  Nếu không đạt được thỏa thuận, bạn có thể yêu cầu Tòa án phân công lại quyền thăm nom, chăm sóc con một cách hợp lý, đảm bảo con được tiếp xúc và phát triển tốt nhất.  Việc thay đổi người trực tiếp nuôi con (Điều 84) cũng có thể được xem xét khi sự thăm nom của vợ con gây bất lợi cho sự phát triển của con. Điều quan trọng là bạn cần chứng minh được sự bất lợi này là thực sự cần thiết và phù hợp với lợi ích cao nhất của con.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.769,0.5,0.457
"Tôi đang lo lắng vì cả bố và mẹ đều không còn khả năng chăm sóc con cái được nữa, nên ai sẽ là người phù hợp để làm người giám hộ cho con tôi?","Trong trường hợp cả cha và mẹ đều không còn đủ điều kiện trực tiếp nuôi con, Tòa án sẽ có quyền quyết định giao con cho người giám hộ theo quy định của Bộ luật Dân sự. Tòa án sẽ xem xét các đối tượng có quyền yêu cầu thay đổi người trực tiếp nuôi con, bao gồm người thân thích, cơ quan quản lý nhà nước về gia đình, cơ quan quản lý nhà nước về trẻ em và Hội liên hiệp phụ nữ, tất cả đều dựa trên lợi ích của trẻ em. Điều 85 của Luật Hôn nhân và Gia đình quy định rõ về vấn đề này.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.766,0.5,0.456
"Tôi có con trai 14 tuổi, con thường xuyên lỡ học về nhà, liên tục rủ rê, thậm chí ép buộc tôi đi chơi muộn. Tôi lo lắng con có thể rơi vào lối sống hư hỏng. Tôi có thể yêu cầu tòa án hạn chế quyền của con không?","Theo quy định tại Điều 86 của Luật Hôn nhân và Gia đình, bạn có quyền yêu cầu Tòa án hạn chế quyền của con chưa thành niên nếu con có hành vi xúi giục, ép buộc con làm những việc trái pháp luật, trái đạo đức xã hội. Trường hợp con trai 14 tuổi của bạn có hành vi này, Tòa án có thể xem xét và ra quyết định không cho con được trông nom, chăm sóc, giáo dục, quản lý tài sản riêng hoặc đại diện theo pháp luật cho bạn trong thời hạn từ 01 đến 05 năm, tùy thuộc vào mức độ nghiêm trọng của hành vi vi phạm.  Lưu ý rằng Tòa án sẽ xem xét các tình tiết cụ thể của vụ việc để xác định thời hạn hạn chế quyền phù hợp nhất.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.77,0.5,0.458
"Tôi có con là người chưa thành niên, chồng tôi có quyền hạn chế quyền của tôi đối với con tôi được không?","Theo Điều 87 của Luật Hôn nhân và Gia đình, trong trường hợp Tòa án hạn chế quyền của một trong hai cha mẹ đối với con chưa thành niên, người còn lại có quyền thực hiện quyền đó. Điều này có nghĩa là bạn vẫn có quyền tiếp cận, chăm sóc và quản lý con cái theo quy định pháp luật, bất chấp việc Tòa án đã hạn chế quyền của chồng bạn. Cần lưu ý, việc hạn chế quyền này phải có căn cứ xác đáng theo quy định của pháp luật.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.773,0.5,0.459
"Tôi có con gái 10 tuổi, chồng tôi bị tòa án hạn chế quyền nuôi con của bé. Tôi sẽ được quyền trông nom, nuôi dưỡng và giáo dục con gái như thế nào?","Theo Điều 88 của Luật Hôn nhân và Gia đình, nếu Tòa án hạn chế quyền đối với con chưa thành niên, người còn lại có quyền thực hiện các nghĩa vụ trông nom, nuôi dưỡng, chăm sóc, giáo dục và quản lý tài sản riêng của con. Cụ thể, trong trường hợp chồng bạn bị hạn chế quyền nuôi con, bạn có quyền được Tòa án giao thực hiện quyền này. Đồng thời, bạn vẫn phải thực hiện nghĩa vụ cấp dưỡng cho con gái theo quy định của pháp luật.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.0,0.776,0.5,0.461
"Tôi đã ly hôn với chồng cách đây 2 năm. Hiện tại, tôi đang nuôi con và muốn đảm bảo quyền lợi của con trong việc nhận cha. Chồng tôi hiện đang làm việc và có thu nhập khá. Tôi có quyền yêu cầu chồng tôi công nhận là cha của con hay không?","Theo Điều 89 khoản 1, bất kỳ ai sinh ra một đứa trẻ đều có quyền yêu cầu Tòa án xác định người đó là con của mình, bất kể cha mẹ đứa trẻ đã có nhận thức như thế nào hay chưa. Trường hợp cụ thể của bạn, dù chồng bạn chưa từng công nhận con, bạn vẫn có quyền yêu cầu Tòa án xác định chồng bạn là người có quyền nhận con. Điều này đảm bảo quyền lợi của con trong việc xác định mối quan hệ huyết thống.  Tòa án sẽ xem xét các bằng chứng có liên quan để đưa ra quyết định cuối cùng. ",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.044,0.766,0.5,0.47
"Tôi có một người con trai được sinh ra bằng phương pháp hỗ trợ sinh sản. Ông ấy đã trưởng thành và muốn tự quyết định việc xác định cha mẹ. Tôi có quyền yêu cầu Tòa án xác định cha, mẹ cho người này hay không?","Theo Điều 93 của Luật Hôn nhân và Gia đình, trong trường hợp người vợ sinh con bằng kỹ thuật hỗ trợ sinh sản, việc xác định cha, mẹ được áp dụng theo quy định tại Điều 88 của Luật này.  Do đó, bạn có quyền yêu cầu Tòa án xác định cha, mẹ cho người con trai được sinh ra bằng kỹ thuật hỗ trợ sinh sản. Điều 88 quy định rõ về việc xác định quyền cha mẹ trong các trường hợp sinh con bằng phương pháp hỗ trợ sinh sản, và Điều 93 quy định việc áp dụng Điều 88 khi người vợ sinh con bằng kỹ thuật này.  Bạn nên chuẩn bị đầy đủ hồ sơ chứng minh mối quan hệ huyết thống, bao gồm giấy khai sinh của người con, giấy chứng nhận kết hôn (nếu có) và các giấy tờ liên quan đến quá trình sinh con bằng kỹ thuật hỗ trợ sinh sản, để trình lên Tòa án để được thụ lý giải quyết.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.039,0.767,0.5,0.469
"Nếu tôi mang thai nhờ kỹ thuật hỗ trợ sinh sản và sau đó sinh con, tôi có quyền được công nhận là mẹ của đứa trẻ này không?","Theo Điều 2 của Luật Hôn nhân và Gia đình, trong trường hợp người phụ nữ sống độc thân sinh con bằng kỹ thuật hỗ trợ sinh sản, người phụ nữ đó sẽ được công nhận là mẹ của đứa trẻ. Tương tự, việc sinh con bằng kỹ thuật hỗ trợ sinh sản cũng không làm phát sinh quan hệ cha mẹ và con cái với người cung cấp tinh trùng, noãn, phôi. Tuy nhiên, việc xác định cha mẹ trong trường hợp mang thai hộ vì mục đích nhân đạo được quy định tại Điều 94 của Luật Hôn nhân và Gia đình, trong đó, con sinh ra từ việc mang thai hộ vì mục đích nhân đạo được coi là con chung của vợ chồng kể từ thời điểm sinh ra. Do đó, nếu bạn mang thai bằng kỹ thuật hỗ trợ sinh sản, bạn có quyền được công nhận là mẹ của đứa trẻ theo quy định của pháp luật.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.039,0.759,0.5,0.465
"Tôi đang có người vợ không thể mang thai dù đã áp dụng mọi phương pháp hỗ trợ sinh sản, lại không có con chung. Tôi muốn tìm hiểu xem mình có thể thuê người khác mang thai hộ cho vợ tôi hay không?","Theo Điều 96 về Thỏa thuận mang thai hộ vì mục đích nhân đạo, việc thuê người khác mang thai hộ cho vợ bạn là có thể nếu bạn đáp ứng đủ các điều kiện quy định. Cụ thể, vợ chồng bạn phải không có con chung và người vợ không thể mang thai dù đã áp dụng kỹ thuật hỗ trợ sinh sản. Bên cạnh đó, người nhờ mang thai hộ phải là người thân thích cùng hàng, đã từng sinh con, ở độ tuổi phù hợp, có xác nhận của tổ chức y tế về khả năng mang thai hộ và đã được tư vấn về y tế, pháp lý, tâm lý. Lưu ý, việc mang thai hộ vì mục đích nhân đạo phải tuân thủ pháp luật về sinh con bằng kỹ thuật hỗ trợ sinh sản.",Lỗi hệ thống sinh văn bản: memory layout cannot be allocated (status code: 500),0.019,0.766,0.5,0.462
